scissors,0.6196,1.7184,2.1324,2.6103,4.9823,3.4701,-6.2457,6.0183,5.4574,5.7251
pen,0.2883,0.6277,2.975,3.1971,6.2839,3.5438,-7.5215,5.8659,5.4656,5.6475
tube,0.285,0.6698,2.3724,3.1603,-6.5132,-3.8604,5.9418,5.9387,5.4045,5.6497
shades,0.7163,2.0598,5.943,6.3428,-12.5578,7.3922,-12.7601,6.0549,5.5903,5.6968
nailclippers,0.4685,1.0564,3.0343,3.3805,6.5897,3.9159,7.6245,5.8719,5.6388,5.7455
spoon,0.3745,0.8595,1.5594,1.7568,3.4149,2.1866,5.7919,6.0201,5.3627,5.6698
pendrive,0.6447,1.6124,3.385,3.9992,7.6913,4.8055,-10.4046,5.7898,5.6053,5.6938
bandaid,0.484,1.0922,5.0289,5.3236,10.5009,5.8772,11.6673,5.8887,5.6202,5.7442
key,0.4468,1.1187,1.653,2.0022,3.8298,2.5616,-5.96,5.9002,5.4829,5.687
knife,0.7366,2.1806,3.8432,5.1124,-9.7345,-6.4543,9.747,5.9649,5.5485,5.6256
spatula,0.0876,0.2174,0.6296,0.7073,1.3757,0.8161,-3.8749,5.9364,5.5743,5.7461
bottle,0.6358,1.5698,3.8922,4.656,9.007,5.6534,-9.1927,5.9531,5.3035,5.6113
bottle,0.5507,1.3135,2.6394,2.9925,5.8097,3.6835,-6.9276,5.9536,5.3993,5.6654
cup,0.7742,2.9096,3.6315,5.7105,10.5946,7.4223,10.4834,5.9587,5.3326,5.6304
almond,0.7229,2.0711,3.7254,5.1966,9.6697,6.2488,10.2915,5.9151,5.5894,5.7383
almond,0.7149,1.9374,3.9781,4.8654,9.3061,5.8855,-9.8253,5.8551,5.3343,5.5848
apple,0.7198,2.0831,5.2651,6.161,12.0429,-7.9529,12.0076,6.0424,5.5861,5.6855
banana,0.4413,1.1349,1.8308,2.6963,-4.9736,-3.2653,5.5653,5.9332,5.2516,5.5853
banana,0.3776,1.0012,1.5637,2.3566,-4.5791,-2.9661,4.3937,5.9736,5.1579,5.5558
recycle,0.7721,2.7587,3.7101,5.3917,-10.9160,7.9034,9.9450,5.8012,5.3675,5.5722
